ID,CASE_NUMBER,DATE,BLOCK,IUCR,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT,WARD,COMMUNITY_AREA,FBI_CODE,X_COORDINATE,Y_COORDINATE,YEAR,UPDATED_ON,LATITUDE,LONGITUDE,LOCATION
13320766,JG555397,2023-12-24 20:00:00.000,098XX S EXCHANGE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,431,4,10,51,26,1197465,1840293,2023,2024-12-21 15:40:46.000 -0800,41.716615146,-87.552372875,"(41.716615146, -87.552372875)"
13317882,JG553109,2023-12-24 10:00:00.000,038XX W 110TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2211,22,19,74,08B,1152768,1831369,2023,2024-12-21 15:40:46.000 -0800,41.693121962,-87.716312148,"(41.693121962, -87.716312148)"
13324766,JG561137,2023-12-31 18:10:00.000,011XX N PINE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,false,false,1524,15,37,25,04A,1139294,1907228,2023,2024-12-21 15:40:46.000 -0800,41.901546232,-87.763804034,"(41.901546232, -87.763804034)"
13316696,JG551732,2023-12-23 05:15:00.000,0000X W TERMINAL ST,0460,BATTERY,SIMPLE,AIRCRAFT,false,false,1653,16,41,76,08B,1101811,1934419,2023,2024-12-21 15:40:46.000 -0800,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
13324491,JG561027,2023-12-30 15:00:00.000,058XX N ROGERS AVE,0810,THEFT,OVER $500,STREET,false,false,1711,17,39,13,06,1146176,1938277,2023,2024-12-21 15:40:46.000 -0800,41.986619227,-87.737732946,"(41.986619227, -87.737732946)"
13321225,JG557083,2023-12-28 09:25:00.000,015XX N DAMEN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1424,14,1,24,07,1162780,1910421,2023,2024-12-21 15:40:46.000 -0800,41.909847799,-87.677447398,"(41.909847799, -87.677447398)"
13316199,JG550290,2023-12-21 18:05:00.000,120XX S YALE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,523,5,9,53,11,1176776,1825173,2023,2024-12-21 15:40:46.000 -0800,41.675613656,-87.628599491,"(41.675613656, -87.628599491)"
13326629,JH102071,2024-01-02 16:35:00.000,028XX N LAKE SHORE DR,1340,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,CTA BUS,false,false,1934,19,44,6,14,1173937,1918921,2024,2024-12-21 15:40:46.000 -0800,41.932930738,-87.636207661,"(41.932930738, -87.636207661)"
13314520,JG549121,2023-12-20 14:00:00.000,014XX W ARDMORE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2013,20,48,77,14,1165616,1938958,2023,2024-12-21 15:40:46.000 -0800,41.988094677,-87.66621316,"(41.988094677, -87.66621316)"
13318964,JG554554,2023-12-25 23:42:00.000,064XX S JUSTINE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,725,7,16,67,08B,1167115,1861925,2023,2024-12-21 15:40:46.000 -0800,41.776678107,-87.662913135,"(41.776678107, -87.662913135)"
